stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
DNGD,DNGD,DUNGARDA,DUNGARDA,,20.806509,73.441372,,,0,,Asia/Kolkata,0,,,
DNGI,DNGI,DANGARI,DANGARI,,27.712254,95.569553,,,0,,Asia/Kolkata,0,,,
DNH,DNH,DEONAGAR,DEONAGAR,,23.7584,86.1614,,,0,,Asia/Kolkata,0,,,
DNHK,DNHK,DHINDHORA HKMKD,DHINDHORA HKMKD,,26.8036,77.1032,,,0,,Asia/Kolkata,0,,,
DNHL,DNHL,DHANIAKHALI  HALT,DHANIAKHALI  HALT,,22.95045,88.143911,,,0,,Asia/Kolkata,0,,,
DNI,DNI,DANSI,DANSI,,22.620983,88.268108,,,0,,Asia/Kolkata,0,,,
DNJ,DNJ,DAUNDAJ,DAUNDAJ,,18.230819,74.174366,,,0,,Asia/Kolkata,0,,,
DNK,DNK,DHANAKYA,DHANAKYA,,26.91809,75.605507,,,0,,Asia/Kolkata,0,,,
DNKL,DNKL,DHENKANAL,DHENKANAL,,20.6763,85.5904,,,0,,Asia/Kolkata,0,,,
DNL,DNL,DHANOLI P.H.,DHANOLI P.H.,,21.32224,80.42696,,,0,,Asia/Kolkata,0,,,
DNM,DNM,DHANMANDAL,DHANMANDAL,,20.6873,86.1118,,,0,,Asia/Kolkata,0,,,
DNN,DNN,DINA NAGAR,DINA NAGAR,,32.1346,75.4671,,,0,,Asia/Kolkata,0,,,
DNQ,DNQ,DANDKHORA,DANDKHORA,,25.5695,87.6329,,,0,,Asia/Kolkata,0,,,
DNR,DNR,DANAPUR,DANAPUR,,25.582201,85.044909,,,0,,Asia/Kolkata,0,,,
DNRA,DNRA,DHANDHERA,DHANDHERA,,29.8428,77.9043,,,0,,Asia/Kolkata,0,,,
DNRE,DNRE,DHANAURI,DHANAURI,,25.1716,86.2152,,,0,,Asia/Kolkata,0,,,
DNRP,DNRP,DUNGARPUR,DUNGARPUR,,23.867315,73.695602,,,0,,Asia/Kolkata,0,,,
DNT,DNT,DANTAN,DANTAN,,21.9304,87.2841,,,0,,Asia/Kolkata,0,,,
DNU,DNU,DALSANUR,DALSANUR,,13.2690105,78.169987,,,0,,Asia/Kolkata,0,,,
DNV,DNV,DONKINAVALASA,DONKINAVALASA,,18.469,83.3512,,,0,,Asia/Kolkata,0,,,
DNW,DNW,DANGARWA,DANGARWA,,23.4015,72.4412,,,0,,Asia/Kolkata,0,,,
DNWH,DNWH,DANIYAWAN BZR H,DANIYAWAN BZR H,,25.4344,85.2909,,,0,,Asia/Kolkata,0,,,
DNWR,DNWR,DHANWAR,DHANWAR,,24.423535,85.966105,,,0,,Asia/Kolkata,0,,,
DNX,DNX,DHANSU,DHANSU,,29.2119,75.8018,,,0,,Asia/Kolkata,0,,,
DO,DO,DAUSA JUNCTION,DAUSA JUNCTION,,26.900487,76.330776,,,0,,Asia/Kolkata,0,,,
DOA,DOA,DORAHA,DORAHA,,30.804,76.0432,,,0,,Asia/Kolkata,0,,,
DOB,DOB,DUNDLOD MUKANDGARH,DUNDLOD MUKANDGARH,,27.965447,75.235405,,,0,,Asia/Kolkata,0,,,
DOBH,DOBH,DEOBAHAL,DEOBAHAL,,21.371588,83.735637,,,0,,Asia/Kolkata,0,,,
DOC,DOC,DAUN KALAN,DAUN KALAN,,30.3871,76.4769,,,0,,Asia/Kolkata,0,,,
DOD,DOD,DHODHAR,DHODHAR,,23.770421,75.103226,,,0,,Asia/Kolkata,0,,,
DODH,DODH,DODH,DODH,,30.842,74.5223,,,0,,Asia/Kolkata,0,,,
DOE,DOE,DEORI,DEORI,,23.298235,80.009608,,,0,,Asia/Kolkata,0,,,
DOH,DOH,DHODRA MOHAR,DHODRA MOHAR,,22.2812,77.8749,,,0,,Asia/Kolkata,0,,,
DOI,DOI,DOMOHANI,DOMOHANI,,26.578856,88.769274,,,0,,Asia/Kolkata,0,,,
DOK,DOK,DHOLKA,DHOLKA,,22.732332,72.434192,,,0,,Asia/Kolkata,0,,,
DOKM,DOKM,DOKRA HALT,DOKRA HALT,,23.782674,86.480598,,,0,,Asia/Kolkata,0,,,
DOKY,DOKY,DUKHERI,DUKHERI,,30.2954,76.8843,,,0,,Asia/Kolkata,0,,,
DOL,DOL,DHOLI,DHOLI,,25.977182,85.562725,,,0,,Asia/Kolkata,0,,,
DOLK,DOLK,DHOLIKUA,DHOLIKUA,,20.830898,73.212118,,,0,,Asia/Kolkata,0,,,
DOR,DOR,DUNDARA,DUNDARA,,25.895519,72.796612,,,0,,Asia/Kolkata,0,,,
DORD,DORD,DEO ROAD,DEO ROAD,,24.825067,84.550781,,,0,,Asia/Kolkata,0,,,
DOS,DOS,DEHRI ON SONE,DEHRI ON SONE,,24.9147,84.1853,,,0,,Asia/Kolkata,0,,,
DOT,DOT,DHAKIA TIWARI,DHAKIA TIWARI,,28.0286,79.8857,,,0,,Asia/Kolkata,0,,,
DOTL,DOTL,DEOTALA,DEOTALA,,25.274659,88.294544,,,0,,Asia/Kolkata,0,,,
DOX,DOX,DOHNA,DOHNA,,28.434204,79.432869,,,0,,Asia/Kolkata,0,,,
DOY,DOY,DORNAHALLI,DORNAHALLI,,12.433056,76.42622,,,0,,Asia/Kolkata,0,,,
DOZ,DOZ,DAURAI,DAURAI,,26.395714,74.619656,,,0,,Asia/Kolkata,0,,,
DPA,DPA,DURGAPURA,DURGAPURA,,26.8557,75.7862,,,0,,Asia/Kolkata,0,,,
DPC,DPC,DARLIPUT,DARLIPUT,,18.3651,82.7464,,,0,,Asia/Kolkata,0,,,
DPD,DPD,DOSAPADU,DOSAPADU,,16.4688,80.9388,,,0,,Asia/Kolkata,0,,,
DPDH,DPDH,DHANPATDIH,DHANPATDIH,,24.4173037,86.9133906,,,0,,Asia/Kolkata,0,,,
DPDP,DPDP,DHAPDHAPI,DHAPDHAPI,,22.3162,88.4601,,,0,,Asia/Kolkata,0,,,
DPE,DPE,DEVARAPALLE,DEVARAPALLE,,13.732382,77.510262,,,0,,Asia/Kolkata,0,,,
DPH,DPH,DADHAPARA,DADHAPARA,,22.0282,82.1232,,,0,,Asia/Kolkata,0,,,
